,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,Song Name
16099,0.715,0.575,2.0,-11.992,0.0,0.0569,0.00255,0.00102,0.0421,0.956,123.678,179207.0,4.0,2,Flip
16100,0.566,0.72,2.0,-10.601,0.0,0.0297,0.042,0.00183,0.123,0.857,100.351,340870.0,4.0,2,Come With Me
16101,0.703,0.893,11.0,-8.474,0.0,0.0456,0.238,0.815,0.0456,0.939,110.375,224200.0,4.0,2,Nice & Slow (Remastered 2022)
16102,0.785,0.713,5.0,-8.998,0.0,0.0356,0.00561,0.633,0.081,0.97,110.03,340750.0,4.0,2,Do you like it like that (Remastered 2023)
16103,0.8,0.549,5.0,-12.989,0.0,0.0723,0.318,0.00722,0.0872,0.961,111.55,343840.0,4.0,2,Do You Like It Like That
16104,0.829,0.642,1.0,-10.548,0.0,0.0426,0.0686,0.00166,0.177,0.801,114.003,210584.0,4.0,2,123 Let’s Go
16105,0.699,0.594,11.0,-12.091,0.0,0.0518,0.159,6.11e-06,0.1,0.891,93.858,220711.0,4.0,2,Disco Crazy
16106,0.613,0.953,2.0,-3.435,1.0,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800.0,4.0,4,Are You Gonna Be My Girl
16107,0.398,0.547,0.0,-6.846,1.0,0.0261,0.414,0.00143,0.146,0.305,73.396,230880.0,4.0,0,Look What You've Done
16108,0.458,0.895,2.0,-3.972,1.0,0.0681,0.000219,0.000394,0.106,0.357,130.327,243200.0,4.0,4,Cold Hard Bitch
16109,0.498,0.944,9.0,-2.395,1.0,0.139,0.0214,7.71e-06,0.112,0.548,152.214,178840.0,4.0,4,She's A Genius
16110,0.672,0.669,2.0,-5.287,1.0,0.0987,0.185,0.00676,0.0986,0.591,96.64,237173.0,4.0,4,Are You Gonna Be My Girl - Acoustic
16111,0.457,0.95,2.0,-2.533,1.0,0.0776,0.000482,0.00189,0.141,0.27,128.034,167344.0,4.0,4,My Name Is Thunder
16112,0.423,0.755,4.0,-5.343,0.0,0.0301,0.00704,4.38e-05,0.172,0.471,148.365,242480.0,4.0,2,Hold On
16113,0.489,0.918,0.0,-3.762,1.0,0.0513,0.000309,8.59e-06,0.102,0.63,133.554,196600.0,4.0,4,Rollover D.J.
16114,0.547,0.904,11.0,-4.19,0.0,0.0775,0.000568,0.00374,0.355,0.748,146.945,112267.0,4.0,2,Last Chance
16115,0.408,0.938,9.0,-3.21,1.0,0.0913,0.0103,0.000183,0.839,0.346,127.94,176052.0,4.0,4,My Name Is Thunder (Rock Version) - Bonus Track
16116,0.603,0.638,11.0,-5.758,0.0,0.03,0.106,0.0,0.206,0.563,135.243,173000.0,4.0,2,Sky High
16117,0.285,0.196,4.0,-20.425,1.0,0.0376,0.95,0.436,0.0971,0.327,139.346,73667.0,4.0,0,Dr. Who
16118,0.753,0.865,4.0,-6.104,0.0,0.0751,0.456,4.85e-06,0.0587,0.655,129.857,176933.0,4.0,2,Who Do You Think You Are
16119,0.527,0.448,11.0,-9.714,0.0,0.0316,0.339,0.00101,0.0866,0.357,130.919,235160.0,4.0,2,Sky High
16120,0.54,0.478,10.0,-9.624,0.0,0.0301,0.123,0.00216,0.251,0.506,78.741,190293.0,4.0,2,If I Have to Go Away
16121,0.502,0.708,8.0,-7.171,1.0,0.0445,0.182,0.0,0.631,0.634,134.079,163267.0,4.0,4,Love Fire
16122,0.22,0.201,9.0,-16.261,1.0,0.0381,0.988,0.759,0.0876,0.0389,71.601,71840.0,4.0,0,Dark Shadows
16123,0.174,0.228,6.0,-13.795,0.0,0.0376,0.9,0.864,0.055,0.0765,112.322,72667.0,4.0,0,The Outer Limits
16124,0.616,0.901,4.0,-3.816,1.0,0.0344,0.308,0.0,0.563,0.958,102.414,216507.0,4.0,4,Brand New Love Affair
16125,0.753,0.827,6.0,-6.417,0.0,0.0307,0.162,3.08e-06,0.248,0.962,127.037,217493.0,4.0,2,Tell Me Why
16126,0.523,0.26,1.0,-12.904,1.0,0.027,0.824,1.28e-05,0.138,0.164,95.354,192920.0,4.0,0,Valentine
16127,0.605,0.454,5.0,-8.394,1.0,0.0264,0.241,0.0,0.114,0.326,121.974,223093.0,4.0,0,Your Love
16128,0.595,0.511,1.0,-7.393,1.0,0.0257,0.422,0.0,0.369,0.272,113.861,228347.0,4.0,0,Destiny (feat. Jordan Hill & Billy Porter)
16129,0.312,0.472,2.0,-7.344,1.0,0.0415,0.678,0.0,0.107,0.346,82.253,221947.0,3.0,1,Never Alone
16130,0.514,0.322,5.0,-10.118,1.0,0.0258,0.831,3.5e-06,0.149,0.276,141.599,221573.0,4.0,0,The Gift (feat. Collin Raye & Susan Ashton)
16131,0.443,0.28,0.0,-9.997,1.0,0.0281,0.463,1.09e-05,0.122,0.221,140.018,240507.0,4.0,0,Love of My Life (feat. Michael W. Smith)
16132,0.336,0.173,10.0,-16.092,1.0,0.0328,0.989,0.931,0.118,0.24,138.014,192267.0,4.0,0,Lavender’s Blue
16133,0.511,0.317,1.0,-10.252,1.0,0.0252,0.835,2.58e-05,0.125,0.164,95.084,192173.0,4.0,0,"Valentine - (with special guest artist, Jim Brickman)"
16134,0.487,0.113,0.0,-18.967,1.0,0.0564,0.979,0.892,0.0778,0.233,66.475,149773.0,4.0,0,When You Wish Upon a Star
16135,0.453,0.164,0.0,-15.722,1.0,0.0446,0.99,0.884,0.087,0.228,129.941,259627.0,4.0,0,Mary Poppins Medley
16136,0.309,0.314,6.0,-13.139,1.0,0.0326,0.506,0.000428,0.212,0.209,127.348,290667.0,4.0,0,Old Photographs
16137,0.6,0.595,0.0,-10.738,1.0,0.0262,0.631,0.56,0.0716,0.43,113.157,221427.0,4.0,0,Eve
16138,0.523,0.436,10.0,-15.093,1.0,0.046,0.698,0.000114,0.178,0.69,112.091,210761.0,4.0,0,Love Hurts
16139,0.532,0.454,4.0,-16.717,0.0,0.0463,0.17,0.000136,0.476,0.672,163.464,241453.0,4.0,2,Man with No Country
16140,0.511,0.379,9.0,-11.814,0.0,0.0284,0.0568,0.0105,0.118,0.423,107.056,272640.0,3.0,1,Whale Meat Again
16141,0.362,0.732,3.0,-6.045,1.0,0.0432,0.0171,0.0,0.129,0.507,147.427,217333.0,3.0,1,Anna Julia
16142,0.376,0.255,4.0,-11.857,0.0,0.0309,0.909,0.72,0.104,0.111,75.876,356000.0,4.0,0,Don't Be A Hero
16143,0.67,0.437,2.0,-12.933,1.0,0.0239,0.0519,5.25e-05,0.0761,0.868,94.901,254190.0,4.0,4,It's All Up To You
16144,0.489,0.745,7.0,-9.364,0.0,0.0559,0.0594,0.0129,0.111,0.799,135.455,275480.0,4.0,2,Oh How We Danced (Anniversary Song) - Single Version
16145,0.768,0.393,9.0,-14.881,1.0,0.0308,0.319,0.116,0.0586,0.888,108.88,258507.0,4.0,4,It's All Right
16146,0.544,0.265,2.0,-11.952,1.0,0.035,0.848,0.0,0.196,0.7,133.837,146176.0,3.0,1,Time in a Bottle
16147,0.697,0.676,7.0,-10.742,1.0,0.0402,0.706,0.0,0.0824,0.852,148.072,182240.0,4.0,4,"Bad, Bad Leroy Brown"
16148,0.536,0.446,9.0,-14.98,1.0,0.029,0.833,0.0103,0.106,0.707,133.785,154627.0,4.0,0,I'll Have To Say I Love You In A Song
16149,0.687,0.453,7.0,-11.649,1.0,0.0335,0.765,8.49e-06,0.0897,0.83,129.987,230213.0,4.0,0,Operator (That's Not the Way It Feels)
16150,0.553,0.652,4.0,-11.625,1.0,0.0403,0.81,1.71e-05,0.115,0.66,86.988,194493.0,4.0,0,I Got a Name - Stereo Version
16151,0.705,0.581,11.0,-11.379,0.0,0.0455,0.607,1.52e-05,0.117,0.967,163.24,184640.0,4.0,2,You Don't Mess Around with Jim
16152,0.661,0.518,6.0,-10.061,0.0,0.0319,0.621,1.78e-05,0.0953,0.776,127.266,170760.0,4.0,2,Walkin' Back to Georgia
16153,0.508,0.483,0.0,-13.71,1.0,0.0586,0.359,0.000357,0.087,0.749,164.596,144733.0,4.0,0,Box #10
16154,0.495,0.63,4.0,-11.331,1.0,0.0502,0.527,0.0,0.223,0.814,169.112,170942.0,4.0,4,Tomorrow's Gonna Be a Brighter Day
16155,0.535,0.233,7.0,-14.728,1.0,0.0382,0.643,3.98e-05,0.186,0.466,122.926,128000.0,4.0,0,Photographs & Memories
16156,0.544,0.265,2.0,-11.952,1.0,0.035,0.848,0.0,0.196,0.7,133.837,146176.0,3.0,1,Time in a Bottle
16157,0.697,0.676,7.0,-10.742,1.0,0.0402,0.706,0.0,0.0824,0.852,148.072,182240.0,4.0,4,"Bad, Bad Leroy Brown"
16158,0.536,0.446,9.0,-14.98,1.0,0.029,0.833,0.0103,0.106,0.707,133.785,154627.0,4.0,0,I'll Have To Say I Love You In A Song
16159,0.687,0.453,7.0,-11.649,1.0,0.0335,0.765,8.49e-06,0.0897,0.83,129.987,230213.0,4.0,0,Operator (That's Not the Way It Feels)
16160,0.553,0.652,4.0,-11.625,1.0,0.0403,0.81,1.71e-05,0.115,0.66,86.988,194493.0,4.0,0,I Got a Name - Stereo Version
