,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
66,0.816,0.781,1.0,-4.237,0.0,0.0425,0.692,0.00928,0.0835,0.937,99.95,185899.0,4.0,2
67,0.798,0.813,4.0,-5.869,0.0,0.162,0.564,0.000142,0.108,0.942,93.912,187609.0,4.0,2
68,0.503,0.592,5.0,-5.923,0.0,0.444,0.0181,0.00014,0.169,0.344,201.85,231618.0,4.0,3
69,0.817,0.781,7.0,-4.178,0.0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707.0,4.0,2
70,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0,0
71,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,4.0,3
72,0.912,0.774,0.0,-4.673,0.0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589.0,4.0,2
73,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,4.0,2
74,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823.0,4.0,4
75,0.799,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547.0,4.0,4
76,0.64,0.647,5.0,-8.114,0.0,0.186,0.124,0.0,0.0801,0.546,92.979,197867.0,4.0,2
77,0.736,0.449,1.0,-11.462,0.0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080.0,4.0,3
78,0.83,0.585,1.0,-5.802,1.0,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600.0,4.0,4
79,0.691,0.906,0.0,-4.458,1.0,0.171,0.072,0.0,0.299,0.657,119.978,183926.0,4.0,4
80,0.451,0.627,8.0,-4.59,1.0,0.127,0.591,0.00958,0.118,0.77,74.69,184000.0,4.0,4
81,0.759,0.245,6.0,-6.545,1.0,0.138,0.515,0.000154,0.102,0.209,96.992,237507.0,4.0,0
82,0.819,0.355,5.0,-7.907,0.0,0.155,0.0274,7.77e-06,0.109,0.242,83.526,176766.0,4.0,2
83,0.71,0.404,1.0,-10.04,0.0,0.379,0.484,0.0,0.0953,0.398,139.553,165853.0,4.0,3
84,0.838,0.297,5.0,-8.224,0.0,0.056,0.0109,4.6e-06,0.109,0.395,83.524,126467.0,4.0,2
85,0.766,0.548,10.0,-4.29,1.0,0.235,0.775,5.57e-06,0.1,0.424,82.944,161985.0,4.0,3
86,0.716,0.729,5.0,-6.313,1.0,0.117,0.0991,0.0,0.0842,0.276,131.975,226693.0,4.0,4
87,0.681,0.469,2.0,-10.803,0.0,0.0366,0.161,0.403,0.108,0.0373,130.022,222453.0,4.0,2
88,0.846,0.748,5.0,-3.512,0.0,0.078,0.188,0.0,0.093,0.597,90.006,160720.0,4.0,2
89,0.891,0.62,8.0,-6.822,1.0,0.157,0.176,1.59e-06,0.103,0.535,82.035,143415.0,4.0,4
90,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,176702.0,4.0,2
91,0.742,0.645,6.0,-10.248,1.0,0.386,0.148,2.86e-05,0.0861,0.804,112.402,162147.0,4.0,3
92,0.424,0.606,6.0,-6.062,0.0,0.159,0.106,0.000272,0.144,0.397,213.788,342244.0,4.0,2
93,0.885,0.595,7.0,-5.487,1.0,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760.0,4.0,3
94,0.926,0.68,2.0,-7.689,1.0,0.196,0.0471,0.000125,0.119,0.458,114.981,201240.0,4.0,3
95,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.694,129.966,240375.0,4.0,2
96,0.717,0.447,4.0,-9.529,0.0,0.369,0.193,0.0,0.0937,0.86,84.09,132232.0,4.0,3
97,0.824,0.848,8.0,-7.051,0.0,0.238,0.101,0.0193,0.1,0.968,134.978,128853.0,4.0,3
98,0.442,0.446,9.0,-11.354,0.0,0.786,0.278,0.0,0.308,0.295,51.539,161080.0,4.0,3
99,0.748,0.937,6.0,-5.506,0.0,0.173,0.16,0.0122,0.127,0.683,126.042,177707.0,4.0,2
100,0.709,0.49,4.0,-7.457,0.0,0.0757,0.11,0.00345,0.12,0.0397,155.069,211610.0,4.0,2
101,0.805,0.51,4.0,-6.179,0.0,0.0569,0.0357,0.000469,0.108,0.36,127.983,207295.0,4.0,2
102,0.367,0.552,7.0,-9.109,0.0,0.0504,0.0258,0.000217,0.154,0.0778,93.467,249773.0,5.0,2
103,0.816,0.433,6.0,-6.372,1.0,0.177,0.0717,1.42e-05,0.12,0.713,129.852,150133.0,4.0,3
104,0.875,0.627,0.0,-7.107,1.0,0.167,0.111,0.0,0.0603,0.817,144.432,192326.0,4.0,4
105,0.72,0.647,1.0,-5.411,0.0,0.0642,0.0116,0.000206,0.571,0.809,157.877,146914.0,4.0,2
106,0.804,0.664,6.0,-7.331,1.0,0.0913,0.148,1.72e-06,0.246,0.83,137.18,116765.0,4.0,4
107,0.65,0.662,5.0,-7.555,0.0,0.0618,0.0287,0.0,0.34,0.628,77.011,163701.0,4.0,2
108,0.8,0.614,7.0,-6.255,0.0,0.0668,0.174,0.000176,0.0849,0.548,135.018,230841.0,4.0,2
109,0.524,0.578,6.0,-4.8,0.0,0.08,0.661,5.96e-05,0.269,0.399,69.695,220250.0,4.0,2
110,0.55,0.439,9.0,-11.026,0.0,0.224,0.841,0.0,0.106,0.703,186.614,213192.0,4.0,3
111,0.616,0.723,0.0,-6.744,0.0,0.0335,0.231,0.0,0.188,0.449,95.069,187422.0,4.0,2
112,0.509,0.872,7.0,-6.827,0.0,0.274,0.227,0.0,0.184,0.595,114.978,305845.0,4.0,3
113,0.538,0.745,11.0,-6.049,1.0,0.141,0.233,0.0,0.0868,0.296,69.957,290047.0,4.0,4
114,0.842,0.441,2.0,-10.548,0.0,0.106,0.53,0.0,0.192,0.723,128.031,272005.0,4.0,2
115,0.579,0.645,9.0,-9.26,0.0,0.129,0.363,0.0,0.102,0.653,86.027,184697.0,4.0,2
116,0.716,0.636,5.0,-10.876,0.0,0.0668,0.0686,0.0,0.118,0.646,94.04,219110.0,4.0,2
117,0.533,0.53,4.0,-8.221,0.0,0.05,0.616,0.0,0.306,0.267,173.949,142417.0,4.0,0
118,0.739,0.722,9.0,-5.85,0.0,0.128,0.253,0.000386,0.108,0.492,121.978,285261.0,4.0,2
119,0.668,0.623,7.0,-8.259,1.0,0.216,0.417,0.0,0.181,0.404,94.947,317474.0,3.0,1
120,0.705,0.688,10.0,-6.857,0.0,0.0401,0.424,0.000178,0.116,0.339,98.022,189796.0,4.0,2
121,0.811,0.652,1.0,-2.798,1.0,0.0736,0.463,0.00158,0.0667,0.738,109.999,256694.0,4.0,4
122,0.819,0.372,0.0,-7.989,0.0,0.0486,0.43,3.74e-05,0.0915,0.653,95.033,245875.0,4.0,2
123,0.708,0.738,5.0,-6.779,0.0,0.0601,0.247,0.0561,0.104,0.55,100.101,165300.0,4.0,2
124,0.791,0.731,1.0,-3.599,1.0,0.0851,0.608,2.82e-05,0.118,0.785,109.974,250985.0,4.0,4
125,0.546,0.543,8.0,-6.698,0.0,0.359,0.615,0.0,0.124,0.544,103.112,201012.0,4.0,3
126,0.945,0.487,0.0,-5.182,0.0,0.0594,0.0271,0.000251,0.161,0.803,106.984,219813.0,4.0,2
127,0.778,0.558,1.0,-9.935,0.0,0.0992,0.206,0.367,0.109,0.699,100.023,201825.0,4.0,2
128,0.729,0.635,4.0,-5.962,0.0,0.0768,0.455,2.44e-05,0.112,0.539,97.835,217775.0,4.0,2
129,0.512,0.472,6.0,-8.81,1.0,0.223,0.318,0.0,0.103,0.319,93.725,118737.0,4.0,3
130,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,4.0,4
131,0.651,0.703,0.0,-8.958,0.0,0.0816,0.0297,0.0,0.0608,0.647,140.051,249444.0,4.0,2
132,0.627,0.618,2.0,-8.529,1.0,0.0437,0.0558,0.0,0.351,0.848,82.03,197443.0,4.0,4
133,0.701,0.875,11.0,-4.1,1.0,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,166720.0,4.0,4
134,0.708,0.598,5.0,-8.365,1.0,0.0291,0.037,0.0,0.17,0.698,112.027,203123.0,4.0,4
135,0.711,0.605,6.0,-9.801,0.0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,307014.0,4.0,2
136,0.841,0.898,8.0,-7.135,1.0,0.104,0.271,0.0151,0.304,0.931,98.401,169727.0,4.0,4
137,0.783,0.627,2.0,-8.521,1.0,0.102,0.00756,0.0,0.0606,0.48,100.025,219389.0,4.0,4
138,0.62,0.396,1.0,-15.498,0.0,0.206,0.735,0.000985,0.0976,0.774,87.865,201027.0,4.0,3
139,0.696,0.553,1.0,-8.702,1.0,0.0759,0.097,3.91e-06,0.617,0.674,114.993,63060.0,4.0,4
140,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,4.0,4
141,0.651,0.703,0.0,-8.958,0.0,0.0816,0.0297,0.0,0.0608,0.647,140.051,249444.0,4.0,2
142,0.627,0.618,2.0,-8.529,1.0,0.0437,0.0558,0.0,0.351,0.848,82.03,197443.0,4.0,4
143,0.701,0.875,11.0,-4.1,1.0,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,166720.0,4.0,4
144,0.708,0.598,5.0,-8.365,1.0,0.0291,0.037,0.0,0.17,0.698,112.027,203123.0,4.0,4
145,0.711,0.605,6.0,-9.801,0.0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,307014.0,4.0,2
146,0.841,0.898,8.0,-7.135,1.0,0.104,0.271,0.0151,0.304,0.931,98.401,169727.0,4.0,4
147,0.783,0.627,2.0,-8.521,1.0,0.102,0.00756,0.0,0.0606,0.48,100.025,219389.0,4.0,4
148,0.62,0.396,1.0,-15.498,0.0,0.206,0.735,0.000985,0.0976,0.774,87.865,201027.0,4.0,3
149,0.696,0.553,1.0,-8.702,1.0,0.0759,0.097,3.91e-06,0.617,0.674,114.993,63060.0,4.0,4
150,0.796,0.361,1.0,-8.417,1.0,0.0888,0.716,1.43e-05,0.101,0.315,124.921,211373.0,4.0,0
151,0.656,0.432,6.0,-9.481,0.0,0.217,0.443,0.0,0.132,0.0897,97.022,222374.0,4.0,3
152,0.726,0.408,11.0,-6.606,0.0,0.0614,0.603,0.0,0.225,0.459,115.918,143227.0,4.0,2
153,0.646,0.335,3.0,-9.915,0.0,0.247,0.626,1.3e-05,0.107,0.419,167.927,92093.0,4.0,3
154,0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,231498.0,4.0,3
155,0.593,0.294,1.0,-10.072,0.0,0.0499,0.345,2.03e-05,0.287,0.152,113.847,188907.0,4.0,0
156,0.574,0.123,1.0,-13.959,1.0,0.196,0.894,0.00111,0.118,0.117,115.431,98027.0,3.0,1
157,0.653,0.578,2.0,-5.709,0.0,0.0513,0.292,0.0,0.105,0.554,145.883,209177.0,4.0,2
158,0.645,0.418,6.0,-10.065,0.0,0.29,0.558,0.0003,0.562,0.123,96.963,140760.0,4.0,3
159,0.555,0.507,11.0,-6.099,0.0,0.167,0.25,0.0,0.283,0.339,137.875,193840.0,4.0,2
160,0.45,0.352,1.0,-11.733,0.0,0.267,0.649,3.8e-06,0.249,0.408,102.679,252747.0,4.0,3
161,0.416,0.298,7.0,-8.499,1.0,0.0442,0.635,2.16e-06,0.136,0.191,95.386,160173.0,4.0,0
162,0.612,0.423,5.0,-8.062,0.0,0.0508,0.588,0.0,0.117,0.18,135.841,214093.0,5.0,0
163,0.816,0.513,1.0,-8.363,1.0,0.244,0.0145,0.000102,0.14,0.17,96.981,296011.0,4.0,3
164,0.414,0.314,1.0,-12.943,0.0,0.0548,0.25,1.47e-05,0.117,0.09,84.993,200133.0,4.0,0
165,0.62,0.396,1.0,-15.498,0.0,0.206,0.735,0.000985,0.0976,0.774,87.865,201027.0,4.0,3
166,0.823,0.487,10.0,-8.416,0.0,0.347,0.086,2.85e-05,0.172,0.172,96.997,236333.0,4.0,3
167,0.635,0.709,10.0,-6.195,0.0,0.0482,0.246,5.24e-05,0.124,0.191,80.426,227560.0,4.0,2
168,0.429,0.4,5.0,-11.679,0.0,0.0882,0.629,3.25e-05,0.087,0.357,72.487,255066.0,4.0,0
169,0.5,0.638,6.0,-4.007,0.0,0.0756,0.66,0.0,0.366,0.698,81.145,224880.0,4.0,2
170,0.727,0.621,3.0,-6.954,0.0,0.114,0.0362,0.0,0.257,0.937,156.029,283116.0,4.0,2
171,0.604,0.63,8.0,-5.17,1.0,0.073,0.281,0.0,0.0891,0.839,84.668,203756.0,4.0,4
172,0.687,0.487,2.0,-7.976,1.0,0.131,0.537,0.000145,0.101,0.496,127.819,258770.0,4.0,4
173,0.386,0.406,0.0,-11.034,0.0,0.273,0.817,0.000175,0.0812,0.4,65.991,219559.0,4.0,3
174,0.581,0.49,2.0,-6.817,0.0,0.0793,0.503,0.0,0.329,0.678,173.402,245552.0,4.0,2
175,0.682,0.334,1.0,-10.285,1.0,0.192,0.418,0.0,0.102,0.264,126.189,137170.0,4.0,3
176,0.624,0.566,0.0,-7.676,0.0,0.115,0.549,0.0,0.0744,0.775,129.886,214154.0,4.0,2
177,0.696,0.547,3.0,-7.064,0.0,0.138,0.313,1.31e-06,0.108,0.0789,123.986,255484.0,4.0,2
178,0.743,0.821,0.0,-6.048,1.0,0.25,0.257,0.0,0.855,0.44,139.9,243462.0,4.0,3
179,0.679,0.647,3.0,-5.063,0.0,0.0365,0.0259,2.87e-06,0.107,0.218,125.876,251456.0,4.0,2
180,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,176702.0,4.0,2
181,0.742,0.645,6.0,-10.248,1.0,0.386,0.148,2.86e-05,0.0861,0.804,112.402,162147.0,4.0,3
182,0.424,0.606,6.0,-6.062,0.0,0.159,0.106,0.000272,0.144,0.397,213.788,342244.0,4.0,2
183,0.885,0.595,7.0,-5.487,1.0,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760.0,4.0,3
184,0.926,0.68,2.0,-7.689,1.0,0.196,0.0471,0.000125,0.119,0.458,114.981,201240.0,4.0,3
185,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.694,129.966,240375.0,4.0,2
186,0.717,0.447,4.0,-9.529,0.0,0.369,0.193,0.0,0.0937,0.86,84.09,132232.0,4.0,3
187,0.824,0.848,8.0,-7.051,0.0,0.238,0.101,0.0193,0.1,0.968,134.978,128853.0,4.0,3
188,0.442,0.446,9.0,-11.354,0.0,0.786,0.278,0.0,0.308,0.295,51.539,161080.0,4.0,3
189,0.748,0.937,6.0,-5.506,0.0,0.173,0.16,0.0122,0.127,0.683,126.042,177707.0,4.0,2
190,0.817,0.44,10.0,-8.482,0.0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113.0,4.0,2
191,0.561,0.52,11.0,-9.342,0.0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360.0,3.0,3
192,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4.0,4
193,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987.0,4.0,4
194,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,189893.0,4.0,3
195,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0,4.0,4
196,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937,291175.0,4.0,3
197,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,298941.0,4.0,0
198,0.773,0.701,7.0,-6.386,1.0,0.0512,0.01,0.0,0.163,0.203,129.963,214589.0,4.0,4
199,0.849,0.424,5.0,-9.579,0.0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966.0,4.0,3
200,0.735,0.786,4.0,-7.354,0.0,0.0598,0.0996,0.0466,0.109,0.47,174.046,231724.0,4.0,2
201,0.804,0.76,10.0,-10.325,0.0,0.0567,0.0145,0.644,0.0709,0.614,112.005,331520.0,4.0,2
202,0.871,0.766,3.0,-6.507,1.0,0.0556,0.0252,0.456,0.0548,0.882,124.0,307224.0,4.0,4
203,0.741,0.775,4.0,-7.538,0.0,0.0468,0.316,0.0454,0.125,0.331,101.987,256471.0,4.0,2
204,0.743,0.586,8.0,-6.823,1.0,0.134,0.0488,3.81e-05,0.0868,0.552,169.989,223207.0,4.0,4
205,0.834,0.5,0.0,-8.215,1.0,0.0416,0.192,0.352,0.115,0.6,100.007,212000.0,4.0,4
206,0.688,0.876,0.0,-7.518,1.0,0.052,0.112,0.811,0.367,0.689,126.012,328667.0,4.0,4
207,0.71,0.767,4.0,-8.378,0.0,0.109,0.131,0.00859,0.108,0.917,167.979,210214.0,4.0,2
208,0.817,0.516,4.0,-9.016,0.0,0.154,0.315,0.0406,0.142,0.434,86.995,206000.0,4.0,2
209,0.75,0.736,7.0,-6.89,0.0,0.129,0.0674,6.97e-05,0.125,0.747,174.394,196101.0,4.0,2
210,0.777,0.414,6.0,-7.44,0.0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880.0,4.0,2
211,0.699,0.255,4.0,-8.647,0.0,0.0303,0.405,0.00242,0.0985,0.242,132.031,106333.0,3.0,1
212,0.763,0.667,2.0,-6.285,1.0,0.085,0.021,2.4e-05,0.0715,0.75,95.864,260520.0,4.0,4
213,0.652,0.861,6.0,-4.863,0.0,0.0565,0.00743,2.25e-05,0.337,0.333,99.983,208747.0,4.0,2
214,0.691,0.501,1.0,-9.089,0.0,0.045,0.0499,0.00011,0.131,0.332,126.93,227947.0,4.0,2
215,0.676,0.5,1.0,-6.603,1.0,0.0513,0.00371,0.00278,0.114,0.0742,90.03,300729.0,4.0,4
216,0.501,0.451,6.0,-7.396,1.0,0.142,0.539,4.12e-06,0.113,0.612,200.015,146400.0,4.0,4
217,0.678,0.438,9.0,-8.847,0.0,0.0576,0.29,0.0,0.0838,0.501,81.498,247546.0,4.0,2
218,0.618,0.536,2.0,-9.577,0.0,0.0836,0.11,0.000413,0.102,0.126,119.094,248432.0,4.0,2
219,0.912,0.223,11.0,-12.424,0.0,0.321,0.26,8.87e-05,0.0786,0.354,139.965,212547.0,4.0,3
220,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613.0,4.0,2
221,0.526,0.606,5.0,-5.3,0.0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4.0,3
222,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,4.0,2
223,0.734,0.846,9.0,-3.425,0.0,0.0489,0.166,1.74e-06,0.235,0.604,98.026,209884.0,4.0,2
224,0.672,0.82,11.0,-4.456,1.0,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573.0,4.0,4
225,0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,176960.0,4.0,2
226,0.828,0.726,10.0,-6.389,0.0,0.0419,0.106,0.00101,0.103,0.67,113.017,212976.0,4.0,2
227,0.699,0.883,5.0,-3.226,0.0,0.219,0.0288,0.0,0.817,0.499,127.961,211975.0,4.0,3
228,0.662,0.693,3.0,-4.298,1.0,0.0698,0.134,0.0,0.145,0.655,86.009,252120.0,4.0,4
229,0.846,0.482,1.0,-6.721,0.0,0.129,0.0246,0.0,0.393,0.212,100.969,229867.0,4.0,2
